Full name,abv
Bachelor of Engineering   Bachelor of Computer Science ,BCMS-BIntSt
Bachelor of Engineering   Bachelor of Exercise Science ,BCMS-BIntSt
Bachelor of Engineering   Bachelor of Mathematics ,BCMS-LLB
Bachelor of Engineering   Bachelor of Science ,BCMS-BSc
Bachelor of Engineering   Bachelor of Science,BCompSc-LLB
Bachelor of Mathematics  Bachelor of Computer Science ,BCA-BA
Bachelor of Mathematics  Bachelor of Science ,BCA-BCom
Bachelor of Science   Bachelor of Arts ,BCA-BCMS
"Faculty of Law, Humanities and the Arts",BCA-BCompSci
Bachelor of Arts  Bachelor of Commerce ,BCA-BIntSt
Bachelor of Arts  Bachelor of Communication and Media,BCA-BJrnl
Bachelor of Arts  Bachelor of Communication and Media  ,BCA-LLB
Bachelor of Arts  Bachelor of Economics and Finance ,BCA-BSc
Bachelor of Arts  Bachelor of International Studies ,BEcon&Fin-LLB
Bachelor of Arts  Bachelor of International Studies  ,BE-LLB
Bachelor of Arts  Bachelor of Laws,BIT-LLB
Bachelor of Arts   Bachelor of Laws ,BIntSt-BCom
Bachelor of Business  Bachelor of Laws ,BIntSt-BEcon&Fin
Bachelor of Commerce  Bachelor of Laws ,BIntSt-LLB
Bachelor of Communication and Media  Bachelor of Commerce ,BJrnl-BA
Bachelor of Communication and Media  Bachelor of Economics and Finance ,BJrnl-BCom
Bachelor of Communication and Media  Bachelor of International Studies ,BJrnl-BCMS
Bachelor of Communication and Media  Bachelor of International Studies  ,BJrnl-BE
Bachelor of Communication and Media  Bachelor of Laws ,BJrnl-BIntSt
Bachelor of Communication and Media  Bachelor of Science ,BJrnl-LLB
Bachelor of Computer Science  Bachelor of Laws ,BJrnl-BSc
Bachelor of Creative Arts  Bachelor of Arts ,BMath-LLB
Bachelor of Creative Arts  Bachelor of Commerce ,BPPE-LLB
Bachelor of Creative Arts  Bachelor of Communication and Media,BPsycSc-LLB
Bachelor of Creative Arts  Bachelor of Computer Science ,BSc-LLB
Bachelor of Creative Arts  Bachelor of International Studies ,BSc-BA
Bachelor of Creative Arts  Bachelor of Journalism ,BSc-BCom
Bachelor of Creative Arts  Bachelor of Laws ,BA-BCom
Bachelor of Creative Arts  Bachelor of Science ,BPsycSc-BCom
Bachelor of Economics and Finance  Bachelor of Laws ,BPsycSc-BSocSc
Bachelor of Engineering   Bachelor of Laws ,BPsyc-BCom
Bachelor of Information Technology  Bachelor of Laws ,LLB 
Bachelor of International Studies  Bachelor of Commerce ,LLB 
Bachelor of International Studies  Bachelor of Economics and Finance ,BA-LLB 
Bachelor of International Studies  Bachelor of Laws ,BCom-LLB 
Bachelor of Journalism  Bachelor of Arts ,BCM-LLB 
Bachelor of Journalism  Bachelor of Commerce ,BIntSt-LLB 
Bachelor of Journalism  Bachelor of Communication and Media,GCertAppFin
Bachelor of Journalism  Bachelor of Engineering  ,GCertBus
Bachelor of Journalism  Bachelor of International Studies ,GCertBusCoach
Bachelor of Journalism  Bachelor of Laws ,GCertHRM
Bachelor of Journalism  Bachelor of Science ,GCertInno&Entrep
Bachelor of Mathematics  Bachelor of Laws ,GCertMark
"Bachelor of Politics, Philosophy and Economics  Bachelor of Laws ",GCertProfAccy
Bachelor of Psychological Science  Bachelor of Laws ,GCertPubRel
Bachelor of Science  Bachelor of Laws,GCertComp
"Faculty of Science, Medicine and Health",GCertElecPowEng
Bachelor of Science  Bachelor of Arts ,GCertEng
Bachelor of Science  Bachelor of Commerce ,GCertEngAssetMgmt
Faculty of Social Sciences,GCertMathSt
Bachelor of Arts   Bachelor of Commerce ,GCertRollStockEng
Bachelor of Psychological Science  Bachelor of Commerce ,GCertGlobalCit
Bachelor of Psychological Science - Bachelor of Social Science,GCertLaw
Bachelor of Psychology   Bachelor of Commerce ,GCertMaritimeSt
"Faculty of Law, Humanities and the Arts",GCertBiofabrication
Bachelor of Laws  ,GCertDementiaCare
Bachelor of Laws   ,GCertErth&EnviSc
Bachelor of Arts  Bachelor of Laws  ,GCertEmergDisasterLead
Bachelor of Commerce  Bachelor of Laws  ,GCertExRehab
Bachelor of Communication and Media  Bachelor of Laws  ,GCertG&RStud
Bachelor of International Studies  Bachelor of Laws  ,GCertHLM
Faculty of Business,GCertIndHlth
Graduate Certificate in Applied Finance ,GCertIndigTrauma&RecPrac
Graduate Certificate in Business ,GCertMedEd
Graduate Certificate in Business Coaching ,GCertMedScHlthRes
Graduate Certificate in Human Resource Management ,GCertMntlHlthNurse
Graduate Certificate in Innovation and Entrepreneurship ,GCertNurse
Graduate Certificate in Marketing ,GCertNut
Graduate Certificate in Professional Accounting ,GCertPrimHlthCare
Graduate Certificate in Public Relations ,GCertRegSc
Faculty of Engineering and Information Sciences,GCertSci
Graduate Certificate in Computing,IntGCertSc
Graduate Certificate in Electrical Power Engineering ,GCertAutism
Graduate Certificate in Engineering ,GCertEdSt
Graduate Certificate in Engineering Asset Management ,GCertEdSt
Graduate Certificate in Mathematical Studies,GCertHlthProm
Graduate Certificate in Rolling Stock Engineering ,GCertHlth&PhysEd
"Faculty of Law, Humanities and the Arts",GCertPubHlth
Graduate Certificate in Global Citizenship ,GCertTertTLP
Graduate Certificate in Laws  ,GCertTESOL
Graduate Certificate in Maritime Studies ,GCertWHS
"Faculty of Science, Medicine and Health",GCertAutism
Graduate Certificate in Biofabrication,GDipBusCoach
Graduate Certificate in Dementia Care ,GDipCompSc
Graduate Certificate in Earth and Environmental Science ,GDipEng
Graduate Certificate in Emergency and Disaster Leadership ,GCertEmergDisasterLead
Graduate Certificate in Exercise Rehabilitation ,GDipMedRadPhys
Graduate Certificate in Gerontology and Rehabilitation Studies ,GDipSc
Graduate Certificate in Health Leadership and Management ,GDipArts
Graduate Certificate in Indigenous Health ,GDipExRehab
Graduate Certificate in Indigenous Trauma and Recovery Practice ,GDipMedScHlthRes
Graduate Certificate in Medical Education ,GDipMntlHlthNurse
Graduate Certificate in Medical Science and Health Research ,GDipSc
Graduate Certificate in Mental Health Nursing ,IntGDipSc
Graduate Certificate in Nursing ,GDipAdVetEd
Graduate Certificate in Nutrition , GDipEdStud
Graduate Certificate in Primary Health Care , GDipEdStud
Graduate Certificate in Regulatory Science ,GDipPsyc
Graduate Certificate in Science ,GDipTESOL
International Graduate Certificate in Science ,GDipWHS
Faculty of Social Sciences, MAppFin
Graduate Certificate in Autism , MBus
Graduate Certificate in Educational Studies  , MBA
Graduate Certificate in Educational Studies  , EMBA 
Graduate Certificate in Health Promotion , MBAAdv
Graduate Certificate in Health and Physical Education , MBusCoach
Graduate Certificate in Public Health , MProfAccy
Graduate Certificate in Tertiary Teaching and Learning Practices , MProfAccyAdv
Graduate Certificate in TESOL , MSc
Graduate Certificate in Work Health and Safety ,MCompSc
Central Administration,MElecPowEng
Graduate Certificate in Health Research,MEng
Faculty of Business ,MEng
Graduate Diploma in Business Coaching ,MEngAssetMgmt
Faculty of Engineering and Information Sciences ,MEngMgmt
Graduate Diploma in Computer Science ,MEngSc
Graduate Diploma in Engineering ,MFinMath
Graduate Diploma in Mathematical Studies,MHlthInfo
Graduate Diploma in Medical Radiation Physics ,MICTAdv
Graduate Diploma in Science ,MIT
"Faculty of Law, Humanities and the Arts ",MITMgmt
Graduate Diploma in Arts ,MITStAdv
"Faculty of Science, Medicine and Health ",MMath
Graduate Diploma in Exercise Rehabilitation ,MMedRadPhys
Graduate Diploma in Medical Science and Health Research ,MRollStockEng
Graduate Diploma in Mental Health Nursing ,MSc
Graduate Diploma in Science,MStat
International Graduate Diploma in Science ,MFishPol
Faculty of Social Sciences ,MIntlSt
Graduate Diploma in Adult and Vocational Education ,MIntStAdv
Graduate Diploma in Educational Studies,LLM
Graduate Diploma in Education Studies,MMaritimePol
Graduate Diploma in Psychology ,MMaritimeStud
Graduate Diploma in TESOL ,MMediaComm
Graduate Diploma in Work Health and Safety ,MD
Faculty of Business,IntMSc
Master of Applied Finance ,MClinExPhysi
Master of Business ,MHLM
Master of Business Administration ,MIndHlth
Master of Business Administration  ,MNurse
Master of Business Administration Advanced ,MNurse
Master of Business Coaching ,MNursInt
Master of Professional Accounting ,MNutr&Diet
Master of Professional Accounting Advanced ,MSc
Master of Science ,MScMgmt
Faculty of Engineering and Information Sciences,MSc
Master of Computer Science ,MSc
Master of Electrical Power Engineering ,MAut
Master of Engineering ,MEd
Master of Engineering  ,MEdAdv
Master of Engineering Asset Management ,MEdSt
Master of Engineering Management ,MPhyHlthEd
Master of Engineering Science ,MProfPsyc
Master of Financial Mathematics ,MPsyc
Master of Health Informatics ,MPubHlth
Master of Information and Communication Technology Advanced ,MPubHlthAdv
Master of Information Technology ,MSocWork
Master of Information Technology Management ,MSpecEd
Master of Information Technology Studies Advanced ,MTeach
Master of Mathematics ,MTeach
Master of Medical Radiation Physics ,MWHS
Master of Rolling Stock Engineering ,MWHSAdv
Master of Science  ,MPhil
Master of Statistics ,MRes
"Faculty of Law, Humanities and the Arts",PhD
Master of Fisheries Policy ,PhD
Master of International Studies ,DBA
Master of International Studies Advanced ,DCA
Master of Laws  ,EdD 
Master of Maritime Policy ,PhD
Master of Maritime Studies ,DPubHlth 
Master of Media and Communication,Hon MA
"Faculty of Science, Medicine and Health",Hon DBA
Doctor of Medicine,Hon DCA
International Master of Science ,Hon EdD
Master of Clinical Exercise Physiology ,Hon LLD
Master of Health Leadership and Management ,Hon DLitt
Master of Indigenous Health ,Hon PhD
Master of Nursing ,Hon DSc
Master of Nursing  ,Hon DUOW
Master of Nursing International ,MNursInt
Master of Nutrition and Dietetics,
Associate Degree in Administration of Justice,
Associate Degree in Animal Management,
Associate Degree in Architectural Building Engineering Technology,
Associate Degree in Architecture and Career Options,
Associate Degree in Art,
Associate Degree in Automotive Maintenance Technology,
Associate Degree in Aviation Mechanics,
Associate Degree in Behavioral Science,
Associate Degree in Boat Mechanics,
Associate Degree in Boat Repair and Maintenance,
Associate Degree in Cabinet Design Technology,
Associate Degree in Child Development: Program Summary,
Associate Degree in Christian Ministry,
Associate Degree in Cosmetology Business,
Associate Degree in Digital Media,
Associate Degree in Early Childhood Special Education,
Associate Degree in Elementary Education,
Associate Degree in English,
Associate Degree in Environmental Science,
Associate Degree in Environmental Studies,
Associate Degree in General Psychology,
Associate Degree in History and Information,
Associate Degree in Interdisciplinary Studies,
Associate Degree in International Relations,
Associate Degree in Landscape Architecture,
Associate Degree in Landscaping Design,
Associate Degree in Library Science,
Associate Degree in Music,
Associate Degree in Wildlife Management,
Associate Degree in Education,
Associate of Applied Science  in Accelerated Culinary Arts,
Associate of Applied Science  in Accounting Specialist,
Associate of Applied Science  in Administrative Support,
Associate of Applied Science  in Baking and Pastry,
Associate of Applied Science  in Business Administration,
Associate of Applied Science  in Business Administration - Finance,
Associate of Applied Science  in Business Information Systems,
Associate of Applied Science  in Civil Justice - Law Enforcement,
Associate of Applied Science  in Clinical Medical Assisting,
Associate of Applied Science  in Computer Applications,
Associate of Applied Science  in Computer Electronics,
Associate of Applied Science  in Computer Game Design,
Associate of Applied Science  in Computer Information Systems,
Associate of Applied Science  in Culinary Arts,
Associate of Applied Science  in Digital Media Communications,
Associate of Applied Science  in Digital Photography,
Associate of Applied Science  in Electronic Engineering,
Associate of Applied Science  in Emergency Medical Services,
Associate of Applied Science  in Health Care Management,
Associate of Applied Science  in Health Information Management,
Associate of Applied Science  in Healthcare Administration,
Associate of Applied Science  in Legal Office E-ministration,
Associate of Applied Science  in Telecommunications Technology,
Associate of Applied Science  in Television Production,
Associate of Applied Science  in Visual Communications,
Associate of Arts  in Computer Information Systems,
Associate of Arts  in Internetworking Technology,
Associate of Arts  in Psychology,
Associate of Arts  in Interior Architecture and Design,
Associate of Biotechnology,
Associate of Business Science  in Individualized Studies,
Associate of Early Childhood Education ,
Associate of Occupational Studies  in Legal Office Administration,
Associate of Science  in Computer Information Science,
Associate of Science  in Computer Science,
"Associate of Science  in Corrections, Probation, & Parole",
Associate of Science  in Electronics Engineering Technology,
Associate of Science  in Interactive & Graphic Art,
Associate of Science  in Industrial Maintenance Technology,
Associate of Arts and science,
Bachelor of Science in Genetic Engineering and Biotechnology,
Bachelor of Applied Economics,
Bachelor of Architecture,
Bachelor of Biochemistry,
Bachelor of Biomedical Science,
Bachelor of Business Administration,
Bachelor of Clinical Science,
Bachelor of Commerce,
Bachelor of Computer Applications,
Bachelor of Community Health,
Bachelor of Computer Information Systems,
Bachelor of Science in Construction Technology,
Bachelor of Criminal Justice,
Bachelor of Divinity,
Bachelor of Economics,
Bachelor of Elementary Education,
Bachelor of Education,
Bachelor of Engineering,
Bachelor of Fine Arts,
Bachelor of Laws,
Bachelor of Letters,
Bachelor of Library & Information Science,
Bachelor of Information Systems,
Bachelor of Management,
Bachelor of Music,
Bachelor of Pharmacy,
Bachelor of Philosophy,
Bachelor of Public Affairs and Policy Management,
Bachelor of Public Administration,
Bachelor of Social Work,
Bachelor of Technology,
Bachelor of Accountancy,
Bachelor of Arts in American Studies,
Bachelor of Arts in American Indian Studies,
Bachelor of Arts in Applied Psychology,
Bachelor of Arts in Biology,
Bachelor of Arts in Anthropology,
Bachelor of Arts in Child Advocacy,
Bachelor of Arts in Clinical Psychology,
Bachelor of Arts in Communication,
Bachelor of Arts in Forensic Psychology,
Bachelor of Arts in Organizational Psychology,
Bachelor of Science in Aerospace Engineering,
Bachelor of Science in Accountancy,
Bachelor of Science in Actuarial,
Bachelor of Science in Agriculture,
Bachelor of Science in Applied Economics,
Bachelor of Science in Architecture,
Bachelor of Science in Architectural Engineering,
Bachelor of Science in Athletic Training,
Bachelor of Science in Biology,
Bachelor of Science in Biomedical Engineering,
Bachelor of Science in Bible,
Bachelor of Science in Business Administration,
Bachelor of Science in Business Administration - Computer Application,
Bachelor of Science in Business Administration - Economics,
Bachelor of Science in Business and Technology,
Bachelor of Science in Chemical Engineering,
Bachelor of Science in Chemistry,
Bachelor of Science in Civil Engineering,
Bachelor of Science in Clinical Laboratory Science,
Bachelor of Science in Cognitive Science,
Bachelor of Science in Computer Engineering,
Bachelor of Science in Computer Science,
Bachelor of Science in Construction Engineering,
Bachelor of Science in Construction Management,
Bachelor of Science in Criminal Justice,
Bachelor of Science in Criminology,
Bachelor of Science in Diagnostic Radiography,
Bachelor of Science in Education,
Bachelor of Science in Electrical Engineering,
Bachelor of Science in Engineering Physics,
Bachelor of Science in Engineering Science,
Bachelor of Science in Engineering Technology,
Bachelor of Science in English Literature,
Bachelor of Science in Environmental Engineering,
Bachelor of Science in Environmental Science,
Bachelor of Science in Environmental Studies,
Bachelor of Arts / Science in Finance,
Bachelor of Science in Food Science,
Bachelor of Science in Foreign Service,
Bachelor of Science in Forensic Science,
Bachelor of Science in Forestry,
Bachelor of Science in History,
Bachelor of Science in Hospitality Management,
Bachelor of Science in Human Resources Management,
Bachelor of Science in Industrial Engineering,
Bachelor of Science in Information Technology,
Bachelor of Science in Information Systems,
Bachelor of Science in Integrated Science,
Bachelor of Science in International Relations,
Bachelor of Science in Journalism,
Bachelor of Science in Legal Management,
Bachelor of Science in Management,
Bachelor of Science in Manufacturing Engineering,
Bachelor of Science in Marketing,
