,Skills
28,"['Office application like MS word,MS Excel  \uf0b7 2', 'and 3D Drawings with Autocad 2010  \uf0b7 3', 'STUDIO MAX  \uf0b7 S', 'tch Up  \uf0b7 P', 'toshop                                                                   6      ']"
29,"['Basic in Computers  ', 'Google Ad words  ']"
30,[]
31,"['dership, Business Strategy, Business Growth Planning, Portfolio analysis,    Business Excellence, Balance Scorecard, TPM, Kaizen, Budgeting, Cost Control, Receivables  Management, Operations & P&L management, Contract & Legal Dispute Handling & knowledge of  Companies Act, IBC, FEMA, Competition Act, Arbitration Act etc.    •', 'specting, Planning, Pitching, Estimation, Tender, Proposal,    Commercial Terms & Conditions settlement, Negotiation, Closing, Contract Review, Order execution,  Export, Performance Management, Key account Management, Customer Relationship Management,  Channel Sales (Dealer / Agent etc.), After Sales, Service Sales    •']"
32,[' Microsoft Office ']
33,"[' Microsoft Office Word, Excel, Powerpoint ', ' Maintenance Strategies (RCA, RCM, CMMS, SAP Condition Monitoring) ', ' Design Tools and Softwares Autocad, Solidworks and Ansys ']"
34,"[""3    • years' experience in Business Development.    • 1+ year experience in website development.    • Lead generation experience    • Sales management and negotiation skills.    • Business development    • Microsoft Excel  "", 'Java, HTML, CSS B', 'MS Tools (Word, Excel and PPT)  ']"
35,[]
36,"['igital Marketing: PR (Media Managements), SEO, SEM, Email Marketing Social Media Marketing,  Brand Management. Website Development: Shopify, Wix, WordPress Developer, Social Media  Management: Facebook, Instagram, LinkedIn, Pinterest, Twitter Advertisement: Facebook,  Google, LinkedIn, Pinterest, Ecommerce: Website Development, Integration, Payment Gateway,  Management : Content Writing, Blogging, Lead Generation YouTube: Content Creation, Editing,  Management, Google Analytics, PPC, Search Engine Optimization. (6 years)    • Search Engine Optimization (SEO)   ', 'igital Marketing    • Google AdWords   ']"
37,"[' Visual Basic    • Web development Application (HTML, CSS, JavaScript)    • Turbo C, Turbo C++, JAVA1.7, JSP    • DBMS-MySQL, MS Access, SQL I', 'Visual Basic6.0 O', 'NetBeans, Visual basic6.0.  ', 'GIT.    • NetBeans    • Java, Python  ']"
38,"["" Very good knowledge on C and Basic's of Java. . OOPS Concept and Core Java    • Good Knowledge on JDK 1.8 New Feature.    • Good knowledge on HTML.    • Java    • JavaScript    • Hibernate    • JSP    • Java and software testing (Less than 1 year) ""]"
39,"[' EDITOR    MS OFFICE, TALLY ERP 9.0 ']"
40,"['Marketing Communications, Market Research And Analysis, Google Ad-words, Social Media\xa0    Campaign Management, Market Research And Analysis, Website Analytics, Google Analytics, SEO\xa0  Optimization, Word Press Site Development, Brand Promotion Strategies, Web User Experience\xa0  Analysis, Marketing Analytics, Market Research, Digital Photography, Design Layout, Amazon &\xa0  Flipkart Ad Campaign Management.  ']"
41,['gital Marketing    • Business Analysis    • Seo    • Ppc    • Market Research    • Offline Marketing Activities    • Team Management    ']
